Provinsi,Kab/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Rata-rata Lama Sekolah Penduduk 15+ (Tahun),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),Indeks Pembangunan Manusia,Umur Harapan Hidup (Tahun),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Klasifikasi Kemiskinan,Cluster
SUMATERA UTARA,Nias Utara,25.66,-1.022930828477619,-1.5361165233004621,-1.094914185230591,-0.03101218412714821,-1.675812136430798,-1.7191104801509878,-0.7817687057270575,0.7520202536176298,-0.40843244425180564,1,2
SUMATERA UTARA,Nias Barat,26.42,-1.0720330367179527,-1.6212150755962553,-1.222789256326021,-0.16747709198573493,-2.1104900989020705,-0.8680535309510795,-1.6396479395315684,1.9742080574707492,-0.4320758259811686,1,2
SUMATERA UTARA,Kota Sibolga,12.33,1.211219646457577,0.4476744035949775,0.6183036347467388,-0.11811744446241572,-2.4169730736804524,0.4630377873481041,1.3895008594772804,0.27003069716851275,-0.38380749814766707,0,0
SUMATERA UTARA,Kota Tanjung Balai,13.4,0.6219931475735688,0.33163092319162313,-0.1520281188401903,-1.8050559862887798,0.6392385236702289,0.1315399494575028,0.580968661245595,-0.452953637505164,-0.33568409816037303,0,0
SUMATERA UTARA,Kota Pematang Siantar,8.52,1.7513439371012502,0.7777536367422967,1.4240706489986672,1.1942684779222927,0.6079977283501128,0.9335097188159185,2.25497194490838,-0.10398067942674398,-0.25944047521514896,0,1
SUMATERA UTARA,Kota Tebing Tinggi,10.3,1.229632974547702,0.9630548133863832,0.8463218338084705,0.3754790307707723,1.0060485514805595,0.9060973976057337,1.2566434560119795,-0.35592976575241886,-0.37484201000525225,0,1
SUMATERA UTARA,Kota Medan,8.34,1.8679616816720441,1.721942336024193,1.7383660044621332,1.037479009318812,0.835301446024062,0.8710351262903818,2.1828493544557883,-1.1430750478754905,2.835978633023264,0,1
SUMATERA UTARA,Kota Binjai,5.81,1.5365217760497893,0.2719514189841837,0.9372209807317285,0.8110053324471139,0.9699600465418043,0.9322347271317241,1.0630512395339708,-1.0476160772800476,-0.2883784456051979,0,1
SUMATERA UTARA,Kota Padangsidimpuan,7.53,1.6285884165004156,0.23584900285869567,0.855565814851514,-0.045529727516358774,-1.3935677097456103,-1.9766588003583008,0.8049282842299584,-0.12119459215706951,-0.3681138141461383,0,0
SUMATERA UTARA,Kota Gunungsitoli,16.45,0.1125577370801038,-0.807068752766372,-0.04880366385954153,0.4829088518509338,-1.7275210390296112,-0.702942107847876,-0.09850205933408415,-1.0194478564486056,-0.38540755506104446,0,0
SUMATERA BARAT,Kepulauan Mentawai,14.84,-0.7590064591858237,-1.4749634510879006,-1.321391720785148,-1.430503366847124,-0.3313806688616581,-1.8918718533593588,-0.8614831478062377,2.0508882141785625,-0.39538657695607476,0,2
SUMATERA BARAT,Pesisir Selatan,7.92,-0.10226442397135711,-0.38857543931173516,0.015904203441760776,0.37838253944861194,-0.31252846478917373,-0.5677929893232461,0.34562126082134853,-0.44982383519055774,-0.25437004830966975,0,0
SUMATERA BARAT,Solok,8.01,-0.34777546517302665,-0.040444998101671965,-0.10580821362497499,-0.2516788436431587,-1.5928624385118688,-0.4492187626931464,-0.14784909490690998,0.27316049948311677,-0.24748593382477724,0,0
SUMATERA BARAT,Sijunjung,6.8,-0.19433106442198353,0.023655210121133325,-0.3184197776149667,-0.9572314523588341,-0.24627643333444502,-1.3398004541030881,-0.5654009343692826,0.09319686639335029,-0.31490596669615556,0,0
SUMATERA BARAT,Tanah Datar,4.54,0.1125577370801038,0.10728019441180459,0.3902854356850072,0.13448781050986378,-1.2642954532485775,0.08691524051069092,-0.16303279816008717,-0.40444170162879145,-0.2522667557780598,0,0
SUMATERA BARAT,Padang Pariaman,7.22,-0.34163768914298503,0.26716232296753734,0.12837263946545305,-0.19941568744199983,-1.1495663256074609,0.06077791098470144,1.271827159265157,-0.7549795608645123,-0.20402375270661183,0,0
SUMATERA BARAT,Agam,6.85,0.3273798981315658,-0.24416577480978302,0.40723273426391954,0.8342334018698517,0.0025726604223432104,0.14811484135203226,0.00019201181156748253,-0.46547284676358236,-0.146778486260724,0,0
SUMATERA BARAT,Lima Puluh Kota,7.29,-0.22501994457219163,-0.24195542280210008,-0.03801901930932339,0.05318956753027966,-1.1587231104426674,-1.033164954054282,-1.0664631417241297,0.29193931337074547,-0.22009829020479918,0,0
SUMATERA BARAT,Pasaman,7.48,-0.20660661648206677,-0.694340800374542,-0.4863520998969178,-0.6000998849842328,-1.7205187918026887,-0.16362062543355227,-0.05295094957455255,-0.017911115775116324,-0.3266729335081817,0,0
SUMATERA BARAT,Solok Selatan,7.52,-0.07157554382114795,0.01555058609296254,-0.10734887713214744,-0.4781525205148567,-1.003596402646228,-0.26306997680073185,-0.08331835608090694,0.4140016036403273,-0.37411615886315935,0,0
SUMATERA BARAT,Dharmasraya,6.67,0.0695933048698125,0.36810173131839163,0.28243899018283886,0.5438825340856239,0.2966670439530923,-0.9477405112132432,-0.02258354306819815,0.559537411269445,-0.29784547686937146,0,0
SUMATERA BARAT,Pasaman Barat,7.51,-0.10226442397135711,-0.4552543915435039,-0.1797600619693186,-0.49847708125975476,-0.3728555178211226,-0.233745168064256,-0.014991691441609717,-0.396617195842278,-0.21483930665511922,0,0
SUMATERA BARAT,Kota Padang,4.94,1.935477218002503,1.552850407436448,1.998738137174517,1.171040408499555,0.15769936821878222,0.6619364900824641,3.1546063626591274,-0.8895610603925126,0.4860991858280555,0,1
SUMATERA BARAT,Kota Solok,3.12,1.5978995363502064,0.6790245803991254,1.3069802224534532,1.1826544432109258,0.7647403393527655,0.7275985618184871,0.034355344131216436,-0.4623430444489761,-0.3975747241565787,0,1
SUMATERA BARAT,Kota Sawah Lunto,2.38,1.1559796621872014,-0.04781283812728177,0.45499330298630947,0.12868079315417624,0.4981163103276354,0.19975200456191453,0.5012542191664148,-0.22134826622441867,-0.399815464117882,0,0
SUMATERA BARAT,Kota Padang Panjang,5.92,1.9600283221226706,0.15811829058851223,1.2391910281378038,0.9184351535272754,-0.22419242284953467,0.8487227718169764,-0.06054280120114098,-0.55154241041521,-0.40395418216200124,0,1
SUMATERA BARAT,Kota Bukittinggi,5.14,1.7820328172514595,1.1074644778883354,1.6597921655962677,1.40622461140478,0.6855610822483331,0.7594733539233526,0.3911723705808801,-0.3199370391344647,-0.32807158334116776,0,1
SUMATERA BARAT,Kota Payakumbuh,6.16,1.4567306876592472,1.1023069898704085,1.410204677434102,1.2145930386671908,0.6618611685572098,0.911197364342513,0.5354175514860634,0.3545353596628395,-0.3634093007993076,0,1
SUMATERA BARAT,Kota Pariaman,4.38,1.3708018232386623,0.9184793812314439,1.1005313124921556,0.20997903613376034,0.12699720730073732,0.8002730878175804,0.3911723705808801,-1.0585703853811639,-0.38226283392752736,0,1
RIAU,Kuantan Singingi,8.97,0.192348825470647,-0.0058161499813058895,0.10372202335066964,-0.3068455085221654,0.5805273738444938,0.04101553987968469,-1.1385857321767214,-0.3825330854265587,0.056947941150333845,0,0
RIAU,Indragiri Hulu,6.18,-0.02861111161085554,-0.023867358044049908,0.012822876427413674,0.17513693199965583,0.3025920223758729,-1.2939007534720819,-0.66029907970164,-0.1587522199323246,0.19249453014335202,0,0
RIAU,Indragiri Hilir,6.18,-0.7344553550656566,-0.13991083844740432,-0.5079213889973518,-0.4868630465483838,-1.484596923695604,0.2845389515608566,-0.9108301833790635,-0.1415383072019991,0.5214808664044798,0,0
RIAU,Pelalawan,9.63,0.16165994532043781,0.4963021477640022,0.33174022241240125,0.45968078242819604,0.21156280842587918,-0.09732105785543164,-1.032299809404481,-0.04451443544925396,0.3045393220503033,0,0
RIAU,Siak,5.18,0.8736419648052806,0.5460350679368684,0.6244662887754352,0.42774218697193117,0.9807327345832239,0.509574983821207,-0.2731146467456218,-0.7471550550780012,0.6807431547848373,0,1
RIAU,Kampar,7.82,0.5115131790328176,0.1964310587216832,0.47656259208674356,0.3406369266366637,0.6688634157841329,0.33617611477073883,-0.29968612743868195,-1.0022339437182801,0.6525994249314367,0,0
RIAU,Rokan Hulu,10.4,0.06345552883976979,-0.3384741271375885,-0.03955968281649803,0.1519088625769181,0.6273885668246677,0.44837538297986573,-1.0664631417241297,-0.46390794560627924,0.10005350699294804,0,0
RIAU,Bengkalis,6.64,0.7754375483246125,0.40162540343491626,0.56283974848848,0.45968078242819604,0.7076450927332426,0.5178624297684727,0.5961523644987722,-0.4232205155164179,1.0920919066446164,0,1
RIAU,Rokan Hilir,7.18,-0.10840220000139873,-0.3344218151235031,-0.09040157855323509,0.2128825448116041,-0.17571532666314787,0.1519398164046163,-0.6868705603947001,-1.3652910122124204,0.5181379978134099,0,0
RIAU,Kepulauan Meranti,25.68,-0.36618879326315207,-0.9374795212196655,-0.6512030951645196,-0.5449332201052303,-1.1431027127826094,0.22652682993000164,-0.23895131442597317,-0.6047490497634898,-0.18712051878677086,1,0
RIAU,Kota Pekanbaru,2.83,2.1380238269938805,1.4865398472059599,1.7953705542275666,0.799391297735743,1.0275939275633985,0.8684851429219931,1.226276049505625,-1.2291446115271183,1.0584372620071467,0,1
RIAU,Kota Dumai,3.42,1.0454996936464502,0.5500873799509538,0.7430973788278217,0.3841895568042995,1.0679915077187212,0.49236259608457994,0.46709088684676614,-0.71272722961735,0.08576361299888155,0,1
JAMBI,Kerinci,7.71,0.07573108089985411,-0.05186515014136716,0.2346784214604489,0.09964570637575511,-0.586154741041227,-0.6723423074272049,-1.0398916610310698,0.22464856360674645,-0.31592932110732314,0,0
JAMBI,Merangin,9.11,-0.3293621370829013,0.020339682109608914,-0.06112897191693213,0.4741983258174107,-0.3303034000575164,-1.0344399457384772,-0.08711428189420117,0.06033394209000013,-0.24222339812200397,0,0
JAMBI,Sarolangun,8.87,-0.24343327266231757,0.540509187917661,0.04979880059958548,-0.12973147917378663,-0.06314073663031503,-0.96750288231826,0.17480459922310512,-0.7205517354038613,-0.2207839602269011,0,0
JAMBI,Batang Hari,10.05,-0.19433106442198353,-0.10786073433600167,0.02822951149915138,0.28547026175766105,0.1334608201255892,-0.7686041795838989,-0.3034820532519762,-0.10241577826944084,-0.20357774854321806,0,0
JAMBI,Muaro Jambi,4.53,0.08800663295993734,-0.5525098798815533,-0.05804764490258503,0.4829088518509338,0.6446248676909391,-0.28538233127413826,0.2013760799161653,-1.0460511761227456,-0.1069211554717699,0,0
JAMBI,Tanjung Jabung Timur,11.39,-0.9308641880269928,-0.4279933834487476,-0.7729155122312553,-0.9630384697145176,-0.37339415222319383,0.04930298582694943,-1.3283820228414362,0.27472540064041995,-0.09777095536850236,0,0
JAMBI,Tanjung Jabung Barat,10.75,-0.26798437678248405,-0.2305352707624049,-0.2721998723997514,-0.43169638166938124,0.25249902298327315,0.4222380534538762,-0.9601772189518896,0.692554009640142,0.1883084430929824,0,0
JAMBI,Tebo,6.68,-0.5196331940141957,0.08149275432217028,-0.08886091504606262,0.1054527237314385,0.33275554889184733,-0.9668653864761623,-0.8462994445530605,0.18552603467418824,-0.2375049895880729,0,0
JAMBI,Bungo,6.23,-0.0961266479413155,0.4955653637614412,0.034392165527847775,-0.5304156767160196,0.020347595690685116,-0.7335419082685471,0.30386607687511147,-0.9208590835385596,-0.18451459659245598,0,0
JAMBI,Kota Jambi,9.02,1.6961039528308746,0.7055488044913206,1.4163673314627985,0.8864965580710106,0.8627718005296816,0.6816988611874809,2.125910467256374,-0.9928445367744668,-0.05116336358121936,0,1
JAMBI,Kota Sungai Penuh,3.41,1.162117438217243,0.047600690204365186,0.8894604120093387,0.7413211241788966,-0.1703289826424377,0.3451010565601012,-0.7817687057270575,-0.7111623284600469,-0.35929480008127745,0,0
SUMATERA SELATAN,Ogan Komering Ulu,12.62,0.16779772135048054,-0.10491359832575775,-0.05034432736671618,-0.41137182092448726,0.29720567835516354,-0.21398279695923925,-0.1858083530398528,0.07754785482032565,-0.24759592520056103,0,0
SUMATERA SELATAN,Ogan Komering Ilir,14.68,-0.8510730996364501,0.15848668258979273,-0.42472555960996256,-0.28652094777726733,-0.49081645187466477,-0.3899316493780971,-0.7779727799137632,0.03373062241586249,-0.022035854481114465,0,0
SUMATERA SELATAN,Muara Enim,12.32,-0.39073989738331905,0.24690076289711035,-0.1643534268975809,-0.18489814405278926,0.38500308589273136,0.2768890014556895,-0.011195765628315165,0.016516709685534738,0.4601749248074347,0,0
SUMATERA SELATAN,Lahat,16.46,0.05117997677968655,-0.21727315871630726,-0.3615583558158349,-1.0153016259156806,-0.36423736738798723,-0.22099525122230962,-0.5540131569293997,0.011822006213629796,-0.18725514538900773,0,0
SUMATERA SELATAN,Musi Rawas,13.89,-0.556459850194446,-0.2854256789531979,-0.4493761757247438,-0.4055648035687997,-0.42995076444064545,-0.1266458665919075,-0.865279073619532,0.16674722078655957,-0.16572792752246343,0,0
SUMATERA SELATAN,Musi Banyuasin,15.84,-0.49508208989402874,-0.06807439819770873,-0.28144385344279493,-0.2371613002539481,-0.3303034000575164,-0.3676192949046907,-0.40597205021092203,-0.04451443544925396,0.5049137706423579,0,0
SUMATERA SELATAN,Banyu Asin,10.75,-0.6116998344648216,-0.17122415855624598,-0.430888213638659,-0.17328410934141833,-0.2694377126234963,-0.5206182970080454,-0.4629109374103366,-0.6141384567073018,-0.024999541176981357,0,0
SUMATERA SELATAN,Ogan Komering Ulu Selatan,11.12,-0.36005101723311045,-0.640923960188871,-0.7066669814227784,-0.7510823362320342,-1.1312527559370478,-0.5110558593765854,-0.6944624120212887,1.0493514735050733,-0.33388025213453004,0,0
SUMATERA SELATAN,Ogan Komering Ulu Timur,10.6,-0.5380465221043211,0.4443588755834531,-0.05342565438106328,-0.14134551388515346,0.3586100001912541,0.5216874048210558,-0.7134420410877601,0.28880951105614144,-0.23847644077404162,0,0
SUMATERA SELATAN,Ogan Ilir,13.82,-0.34777546517302665,0.047600690204365186,-0.42472555960996256,-1.1778981118748488,-0.49997323670987137,-0.8036664508992508,-0.7551972250339974,-0.15405751646041743,-0.2964784620939342,0,0
SUMATERA SELATAN,Empat Lawang,13.35,-0.4889443138639871,-0.34068447914527145,-0.6989636638869096,-1.3143630197334355,-1.3736382368689841,-2.1207328606722933,-1.005728328711421,0.4437347256290712,-0.38359363763643095,0,2
SUMATERA SELATAN,Penukal Abab Lematang Ilir,12.91,-0.8510730996364501,-0.7790709606690548,-0.7775375027527771,-0.3852402428239058,0.9214829503554175,0.1500273288783243,-0.5502172311161054,0.5736215216851642,-0.35822821387746234,0,0
